,cik,year,Topic_Q1,Topic_Q2,Topic_Q3,Topic_Q4,Topic_MDA
5609,1449732.0,2012,-1,1,-1,-1,-1
5610,1449732.0,2013,-1,-1,-1,-1,-1
5611,1452217.0,2011,8,-1,-1,1,0
5612,1452575.0,2010,11,-1,2,5,6
5613,1452575.0,2011,-1,-1,12,5,8
5614,1452575.0,2012,4,3,12,5,8
5615,1452575.0,2013,4,3,-1,5,8
5616,1453593.0,2011,0,0,0,0,-1
5617,1453593.0,2012,0,0,0,2,-1
5618,1453593.0,2013,0,0,-1,0,-1
5619,1453814.0,2010,2,0,0,-1,2
5620,1453814.0,2011,2,0,0,0,2
5621,1453814.0,2012,2,2,0,0,2
5622,1453814.0,2013,2,0,0,14,2
5623,1462418.0,2013,0,21,26,-1,-1
5624,1462633.0,2012,2,2,-1,2,2
5625,1462633.0,2013,-1,2,-1,2,-1
5626,1463101.0,2013,5,4,4,4,3
5627,1463258.0,2012,-1,-1,-1,21,0
5628,1463258.0,2013,-1,1,-1,21,-1
5629,1466301.0,2013,0,0,0,0,1
5630,1466593.0,2013,10,-1,4,4,8
5631,1467858.0,2011,-1,7,5,12,-1
5632,1467858.0,2012,4,7,-1,12,12
5633,1467858.0,2013,4,-1,5,12,12
5634,1468174.0,2010,23,20,18,15,21
5635,1468174.0,2011,-1,20,18,15,21
5636,1468174.0,2013,23,20,18,15,21
5637,1468328.0,2010,0,0,0,0,11
5638,1468328.0,2011,0,0,0,0,11
5639,1468328.0,2012,0,0,0,0,11
5640,1468328.0,2013,0,0,0,0,11
5641,1468516.0,2010,7,15,-1,2,1
5642,1468516.0,2011,7,3,-1,-1,2
5643,1468516.0,2012,7,15,-1,24,-1
5644,1468516.0,2013,-1,15,2,3,-1
5645,1469433.0,2010,-1,-1,-1,11,2
5646,1469433.0,2011,-1,-1,36,-1,2
5647,1471038.0,2010,-1,10,-1,-1,27
5648,1471261.0,2010,6,1,-1,1,0
5649,1471261.0,2012,6,1,-1,1,0
5650,1471261.0,2013,6,1,-1,1,0
5651,1473597.0,2010,1,13,-1,-1,-1
5652,1473597.0,2011,-1,-1,-1,-1,-1
5653,1473597.0,2012,-1,-1,-1,-1,-1
5654,1474042.0,2011,27,27,11,18,17
5655,1474042.0,2012,27,27,23,18,17
5656,1474042.0,2013,18,27,23,29,17
5657,1474735.0,2010,5,4,-1,2,8
5658,1474735.0,2011,5,13,4,4,8
5659,1474735.0,2012,5,4,4,4,-1
5660,1474735.0,2013,5,4,4,4,2
5661,1479920.0,2009,4,-1,23,18,17
5662,1479920.0,2010,27,-1,23,18,17
5663,1483096.0,2010,-1,-1,3,1,0
5664,1483096.0,2011,17,1,-1,1,0
5665,1483096.0,2012,17,1,-1,1,0
5666,1484478.0,2011,0,0,0,0,-1
5667,1484478.0,2012,0,0,0,0,-1
5668,1484478.0,2013,0,0,0,0,-1
5669,1485469.0,2012,4,-1,-1,-1,12
5670,1485469.0,2013,-1,-1,-1,-1,12
5671,1486159.0,2011,6,1,3,1,0
5672,1486159.0,2012,6,-1,-1,1,0
5673,1486800.0,2011,21,14,9,16,25
5674,1486800.0,2012,21,22,-1,16,25
5675,1486957.0,2012,5,35,-1,-1,17
5676,1486957.0,2013,5,-1,17,-1,17
5677,1487101.0,2011,-1,-1,-1,2,-1
5678,1487101.0,2013,-1,-1,-1,-1,-1
5679,1487371.0,2011,-1,0,0,0,20
5680,1487371.0,2013,0,0,0,0,20
5681,1487952.0,2011,-1,3,-1,-1,5
5682,1487952.0,2012,-1,3,-1,-1,-1
5683,1487952.0,2013,-1,-1,-1,-1,-1
5684,1487986.0,2012,1,2,1,25,4
5685,1487986.0,2013,1,2,-1,25,4
5686,1488075.0,2011,-1,0,-1,22,2
5687,1488075.0,2012,2,12,-1,-1,2
5688,1488075.0,2013,19,-1,1,-1,2
5689,1488139.0,2011,5,4,4,4,8
5690,1488139.0,2012,5,4,4,4,8
5691,1488139.0,2013,-1,4,3,-1,8
5692,1489137.0,2011,4,-1,-1,1,-1
5693,1489137.0,2012,-1,-1,-1,8,-1
5694,1489393.0,2011,6,1,3,27,0
5695,1489393.0,2012,6,-1,-1,-1,0
5696,1489393.0,2013,6,-1,-1,-1,6
5697,1490165.0,2013,9,-1,7,-1,18
5698,1490630.0,2011,18,11,-1,7,5
5699,1490630.0,2012,18,11,-1,7,5
5700,1490630.0,2013,18,11,11,7,5
5701,1491778.0,2012,2,-1,-1,22,2
5702,1491778.0,2013,-1,-1,-1,-1,2
5703,1492426.0,2012,0,0,0,0,1
