year,cik
2008,1038357
2008,823094
2013,1549346
2008,823768
2008,1333274
2008,831259
2008,821995
2008,821536
2008,836106
2013,1021270
2008,800240
2008,1037676
2008,910638
2008,833081
2008,1090012
2008,928022
2008,814586
2008,813920
2008,840467
2008,839470
2008,1035002
2008,842633
2008,832101
2008,837173
2008,845289
2013,1006837
2008,79282
2008,850429
2008,850693
2008,849213
2008,847935
2008,827809
2008,851205
2013,1018946
2008,821189
2008,855612
2008,1068717
2013,1022671
2008,1060009
2008,1034669
2008,852772
2008,849706
2013,1024657
2008,857737
2008,1412067
2008,884713
2008,858339
2008,903571
2008,858470
2008,945764
2008,1022705
2013,1023313
2008,896747
2008,844965
2008,751978
2008,861459
2008,853816
2008,861361
2013,1022321
2008,820736
2008,824142
2008,856982
2008,862480
2008,768899
2008,829608
2008,860730
2008,824068
2008,821483
2008,749935
2013,23675
2013,944508
2008,864233
2008,863436
2008,811240
2013,1022469
2008,225648
2008,845434
2008,1108109
2008,872448
2013,1020416
2008,866609
2008,872589
2008,1054833
2008,767920
2008,873364
2008,1163302
2008,874016
2013,1023131
2008,874015
2008,874396
2008,724606
2008,874255
2008,874734
2008,875355
2008,874761
2013,1024732
2008,812191
2008,49754
2008,811596
2008,865752
2008,875320
2008,877212
2008,768262
2008,875045
2008,877357
2008,850483
2013,1023128
2008,817366
2008,878927
2008,1040829
2008,877476
2008,879585
2008,875622
2008,880285
2008,879884
2008,881464
2008,1289945
2008,789132
2008,882095
2008,882104
2008,879993
2008,880984
2008,882154
2008,882835
2008,837465
2008,883293
2008,883237
2013,1000753
2008,883945
2008,879911
2008,883984
2008,851968
2008,880266
2013,1020214
2008,1005284
2008,885725
2008,736012
2008,885978
2013,887359
2008,1105055
2008,886835
2008,850460
2008,833845
2008,879703
2008,889348
2008,813779
2008,889331
2008,890564
2008,825692
2013,1027207
2008,890801
2008,891178
2008,891014
2008,872248
2008,891288
2008,797465
2008,810509
2008,889423
2008,886163
2008,887969
2008,891532
2008,776325
2013,849869
2008,893538
2008,1196501
2008,881695
2008,875657
2008,745655
2008,874499
2008,894627
2008,865231
2008,1078207
2008,895456
2008,895126
2008,886136
2008,895663
2008,784199
2008,101984
2008,884382
2013,891293
2008,49071
2008,896841
2008,897077
2008,895655
2013,1029199
2008,896622
2008,898173
2008,884887
2008,1122976
2013,1027884
2008,898437
2008,868809
2008,899751
2008,880115
2008,1451505
2008,902272
